Label,Spectral Centroid Mean,Spectral Bandwidth Mean,RMS Mean,Zero-Crossing Rate Mean,Spectral Contrast Mean,Pitch Mean,Pitch Confidence Mean,Mel Spectrogram Mean,Mel Spectrogram Variance,Energy Mean
Neutral,2404.647747,2468.509652,0.078818701,0.06626346,20.72993698,1533.077515,0.101561487,1.778293729,409.6829529,0.078818701
Neutral,2003.966411,2268.592034,0.06600105,0.053624065,20.89548571,1438.107544,0.095235094,1.387360096,117.2490158,0.06600105
Neutral,2403.60543,2491.194008,0.081277274,0.067823553,20.85048641,1389.363525,0.103767522,1.981187224,664.8377075,0.081277274
Neutral,2368.741197,2665.502383,0.058960218,0.063050444,19.96207635,1453.837402,0.069378078,1.319709659,773.888916,0.058960218
Neutral,2008.66661,2406.883926,0.065483809,0.051348766,20.4329673,1374.418945,0.085873112,1.496718049,382.1150208,0.065483809
Neutral,2266.152839,2456.007931,0.041696183,0.059770019,20.62303751,1434.79248,0.051029656,0.704200923,153.5340881,0.041696183
Neutral,2399.435616,2394.278287,0.080001272,0.0698372,21.41943427,1682.17688,0.10099759,1.775635362,251.6525269,0.080001272
Neutral,2229.981897,2435.677805,0.089831956,0.058198006,21.0319743,1477.19165,0.113002785,2.66957283,968.4177856,0.089831956
Neutral,2137.629078,2460.946728,0.088930868,0.054667529,20.8694703,1426.858887,0.125756338,2.250660181,279.9239197,0.088930868
Neutral,2324.63886,2455.165519,0.070381634,0.064503257,20.4944864,1501.157471,0.097468786,1.713817835,454.9826355,0.070381634
Neutral,2308.09276,2460.90085,0.05056487,0.061948811,20.91232918,1572.836914,0.073200427,0.712816536,36.08169174,0.05056487
Neutral,2550.783683,2452.674534,0.051678333,0.075711326,20.56321523,1425.381348,0.063322775,0.851223469,92.67834473,0.051678333
Neutral,2501.524833,2612.614384,0.071340181,0.067967346,20.31099578,1457.317261,0.101185858,1.679382086,361.3273926,0.071340181
Neutral,2631.179706,2509.217225,0.055823367,0.080771327,20.19089992,1475.502686,0.078190289,1.113796234,137.4761963,0.055823367
Neutral,2728.280467,2740.589616,0.038284842,0.074373667,20.4291573,1414.31189,0.049660914,0.630357981,74.49947357,0.038284842
Neutral,2725.833441,2560.070846,0.093939498,0.088824251,20.69032892,1456.677002,0.128558561,2.261198997,342.3825378,0.093939498
Neutral,2796.451994,2690.278836,0.057842966,0.083053934,20.72568256,1479.831177,0.079012826,1.042216063,143.1944275,0.057842966
Neutral,2489.088946,2507.921443,0.020775992,0.071329168,21.05434229,1593.035889,0.026692038,0.134889945,1.572817326,0.020775992
Neutral,2615.505813,2720.625844,0.054364305,0.070556641,20.49151071,1457.54126,0.071741179,1.340907216,279.5727844,0.054364305
Neutral,2699.197015,2561.576995,0.082498908,0.082360765,21.16735925,1621.86084,0.109261535,2.008971691,344.7308044,0.082498908
Neutral,2940.887106,2564.24944,0.02005187,0.094748352,20.68477541,1571.900757,0.027869815,0.101996481,0.781357765,0.02005187
Neutral,2206.0561,2442.737665,0.069138549,0.059417787,20.48864556,1308.844482,0.090725958,1.807918191,690.9755859,0.069138549
Neutral,2221.481987,2362.048915,0.093650833,0.06167283,21.46855087,1353.820557,0.128921404,2.61557889,644.9534912,0.093650833
Neutral,2475.583019,2533.999364,0.055558365,0.072451826,20.06057446,1279.278564,0.08001516,1.028535128,93.92559814,0.055558365
Neutral,2306.492559,2400.05872,0.077316754,0.065791155,20.70237247,1471.563965,0.11594253,1.533013701,163.3847046,0.077316754
Neutral,2375.811876,2491.881214,0.063278005,0.064515034,20.4880743,1466.42395,0.092183039,1.199049711,127.9996643,0.063278005
Neutral,2578.068206,2504.225388,0.061208077,0.074349487,21.01001639,1481.101929,0.079268008,1.481309891,508.0692444,0.061208077
Neutral,2402.103867,2407.673884,0.052673921,0.068075857,20.75727616,1566.726929,0.071489766,0.814460099,72.10995483,0.052673921
Neutral,2529.318361,2483.080482,0.075242601,0.07512004,21.12475583,1355.114502,0.101231486,1.764210463,265.4067688,0.075242601
Neutral,2381.751916,2471.26798,0.07596454,0.06818506,20.31365063,1361.975708,0.102933958,1.847783923,321.7902832,0.07596454
Neutral,2271.464073,2462.943036,0.078641705,0.060800502,20.37931442,1375.644043,0.097978666,2.146854162,673.5925903,0.078641705
Neutral,2579.623591,2529.026938,0.056965511,0.074370353,20.63271057,1476.493896,0.076375917,1.085079789,152.4694977,0.056965511
Neutral,2127.44677,2404.006441,0.077307425,0.05188862,20.56751621,1349.527344,0.107645102,1.930754781,644.9290161,0.077307425
Neutral,1951.083311,2148.520974,0.068398364,0.052670988,20.5670939,1327.843262,0.092467114,1.513294935,320.1117554,0.068398364
Neutral,2272.128957,2316.10117,0.056495488,0.064727721,20.58437719,1454.868896,0.078802772,1.11128509,199.3167572,0.056495488
Neutral,1871.571632,2123.089676,0.08376234,0.049131332,21.06024431,1302.901123,0.11325378,2.202589512,571.8256226,0.08376234
Neutral,2137.093572,2257.031111,0.069821239,0.059681149,20.46216157,1414.286377,0.096237652,1.672020197,410.8161011,0.069821239
Neutral,2305.871643,2458.831298,0.070403151,0.061968782,20.66537312,1434.661621,0.098717391,1.543374896,161.4446411,0.070403151
Neutral,2193.551872,2255.249572,0.064405486,0.063248898,21.56492089,1433.079102,0.086733535,1.298348784,221.6647797,0.064405486
Neutral,2336.889815,2500.019024,0.064058132,0.060608415,21.02565452,1433.732422,0.082437605,1.271053314,151.8112793,0.064058132
Neutral,2432.354662,2470.960116,0.046974797,0.071279077,20.26030701,1438.551392,0.065924533,0.682914913,66.26437378,0.046974797
Neutral,2734.19819,2477.474169,0.05326419,0.084002349,20.24413811,1565.96167,0.074856408,1.17905426,253.80336,0.05326419
Neutral,2321.16876,2470.071532,0.067670509,0.065928507,19.58837234,1372.850708,0.098910153,1.430195093,203.0901184,0.067670509
Neutral,2379.5593,2264.881443,0.103887573,0.075934454,20.80970177,1358.022583,0.139657542,4.094955921,1594.244263,0.103887573
Neutral,1787.634628,2348.131609,0.026168756,0.040512751,19.25133028,1096.738159,0.03966086,0.350330234,28.84754372,0.026168756
Neutral,1549.607728,2033.970408,0.105339579,0.035849946,20.42345738,1100.052612,0.138248593,4.498146057,2250.540771,0.105339579
Neutral,2075.460632,2248.447072,0.111883387,0.057621677,20.50686269,1183.800171,0.124826759,4.569468021,2650.900391,0.111883387
Neutral,1509.959287,1785.365984,0.136060685,0.040495114,21.3659773,1099.144043,0.179619059,5.908003807,2892.548584,0.136060685
Neutral,2058.824544,1997.02492,0.132495463,0.065498643,21.10742189,1279.208984,0.179198757,5.49961853,1782.927734,0.132495463
Neutral,1824.786832,2062.005833,0.143514991,0.049631825,20.7469517,1061.316772,0.169221669,6.537407398,3204.423828,0.143514991
Neutral,1493.328282,1900.696034,0.118141212,0.03769868,20.82990311,1140.680176,0.155919284,4.81348896,1535.522705,0.118141212
Neutral,1676.409586,1934.475207,0.150715619,0.045162087,21.44859904,1002.095093,0.182057962,6.785708427,3643.768066,0.150715619
Neutral,2196.415696,2188.38878,0.101839952,0.065275907,20.52081193,1302.455933,0.122767881,4.306982994,3851.54126,0.101839952
Neutral,1549.584539,1923.834709,0.14408724,0.03633486,21.02213094,1075.013794,0.185201332,6.704451084,3703.175537,0.14408724
Neutral,1689.226144,2192.064044,0.073820628,0.037381017,19.7543954,994.0256958,0.100523151,3.092212439,1268.538818,0.073820628
Neutral,1726.275653,2156.436854,0.093680963,0.041001122,19.91166278,1114.572388,0.159868822,3.908116817,1468.703857,0.093680963
Neutral,1675.379411,2059.157565,0.111978441,0.04308057,20.28954077,1003.128906,0.147536457,4.196724415,1317.687134,0.111978441
Neutral,1482.606925,1985.316246,0.095871858,0.032174928,20.17473421,1039.678345,0.131671935,3.753669739,1269.829834,0.095871858
Neutral,1679.052368,2144.206338,0.086548977,0.035539018,19.94420573,1098.278076,0.12014658,3.200007915,1055.90686,0.086548977
Neutral,1691.578315,2110.651089,0.117227614,0.040415095,20.48256902,1074.359131,0.146260932,5.699644089,3551.847412,0.117227614
Neutral,1518.531477,1778.544771,0.10602922,0.039161279,20.46344105,1002.620667,0.139662609,4.465395451,3110.240479,0.10602922
